time,latitude,longitude,depth,mag,country
10/16/1964 7:00:00 AM,41.5,88.5,0,20,China
5/14/1965 2:00:00 AM,41.5,88.5,0,20,China
05/09/1966 08:00:00,41.5,88.5,0,200,China
10/27/1966 1:10:00 AM,41.5,88.5,0,0,China
12/28/1966 4:00:00 AM,41.5,88.5,0,0,China
6/17/1967 12:19:08 AM,40.744,89.775,NA,3300,China
12/24/1967 4:00:00 AM,41.5,88.5,0,0,China
12/27/1968 7:30:00 AM,41.5,88.5,0,0,China
9/22/1969 4:14:59 PM,41.376,88.318,NA,19.2,China
9/29/1969 8:40:12 AM,40.722,89.515,NA,3000,China
10/14/1970 7:29:57 AM,40.52,89.779,NA,3400,China
11/18/1971 6:00:00 AM,41.5,88.5,0,20,China
01/07/1972 07:00:00,41.5,88.5,0,0,China
3/18/1972 6:00:00 AM,41.5,88.5,0,0,China
6/27/1973 3:59:46 AM,40.7985,89.8091,NA,3000,China
6/17/1974 5:59:53 AM,40.518,89.619,NA,1000,China
10/27/1975 12:59:58 AM,41.375,88.326,NA,2.5,China
1/23/1976 6:00:00 AM,41.5,88.5,0,0,China
9/26/1976 6:00:00 AM,41.5,88.5,0,0,China
10/17/1976 4:59:59 AM,41.708,88.37,NA,2.6,China
11/17/1976 6:00:13 AM,40.696,89.627,NA,4000,China
9/17/1977 7:00:00 AM,41.5,88.5,0,0,China
3/15/1978 5:00:00 AM,41.5,88.5,0,0,China
10/14/1978 12:59:58 AM,41.523,88.722,NA,3.4,China
12/14/1978 12:00:00 AM,41.5,88.5,0,0,China
9/13/1979 12:00:00 AM,41.5,88.5,0,0,China
10/16/1980 4:30:30 AM,40.719,89.651,NA,1000,China
10/05/1982 00:00:00,41.5,88.5,0,0,China
05/04/1983 04:59:58,41.679,88.368,NA,1,China
10/06/1983 10:00:00,41.54,88.72,0,0,China
10/03/1984 06:00:00,41.57,88.73,0,0,China
12/19/1984 5:59:58 AM,41.737,88.425,NA,1.3,China
06/05/1987 04:59:58,41.518,88.713,NA,250,China
9/29/1988 6:59:58 AM,41.768,88.38,NA,2.5,China
5/26/1990 7:59:58 AM,41.569,88.701,NA,11.5,China
8/16/1990 4:59:58 AM,41.514,88.739,NA,189,China
5/21/1992 4:59:58 AM,41.513,88.774,NA,650,China
9/25/1992 7:59:59 AM,41.716,88.336,NA,8,China
10/05/1993 01:59:57,41.667,88.695,0,0,China
06/10/1994 06:25:58,41.53,88.71,0,0,China
10/07/1994 03:25:58,41.66,88.75,0,0,China
5/15/1995 4:05:58 AM,41.6,88.82,0,0,China
8/17/1995 12:59:58 AM,41.56,88.8,0,0,China
06/08/1996 02:55:58,41.66,88.69,0,0,China
7/29/1996 1:48:58 AM,41.82,88.42,0,0,China
2/13/1960 7:04:00 AM,27,0,0,0,France
04/01/1960 06:17:00,27,0,0,0,France
12/27/1960 7:30:00 AM,27,0,0,0,France
4/25/1961 6:00:00 AM,27,0,0,0,France
11/07/1961 11:30:00,24.0571,5.0521,0,0,France
05/01/1962 10:00:00,24.063,5.0418,0,20,France
3/18/1963 10:02:00 AM,24.0413,5.0521,0,20,France
3/30/1963 9:59:00 AM,24.0433,5.057,0,20,France
10/20/1963 1:00:00 PM,24.0355,5.0386,0,20,France
2/14/1964 11:00:00 AM,24.0536,5.0523,0,20,France
6/15/1964 1:40:00 PM,24.0666,5.0345,0,20,France
11/28/1964 10:30:00 AM,24.0418,5.0416,0,20,France
2/27/1965 11:30:00 AM,24.0587,5.0311,0,20,France
5/30/1965 11:00:00 AM,24.055,5.0508,0,20,France
10/01/1965 10:00:00,24.0649,5.034,0,20,France
12/01/1965 10:30:00,24.0437,5.0469,0,20,France
2/16/1966 11:00:00 AM,24.0441,5.0412,0,20,France
07/02/1966 15:34:00,-22,-139,0,200,France
7/19/1966 3:05:00 PM,-22,-139,0,200,France
09/11/1966 17:30:00,-22,-139,0,200,France
9/24/1966 5:00:00 PM,-22,-139,0,200,France
10/04/1966 21:00:00,-22,-139,0,1000,France
06/05/1967 19:00:00,-22,-139,0,20,France
6/27/1967 6:30:00 PM,-22,-139,0,200,France
07/02/1967 17:30:00,-22,-139,0,200,France
07/07/1968 22:00:00,-22,-139,0,200,France
7/15/1968 7:00:00 PM,-22,-139,0,1000,France
08/03/1968 21:00:00,-22,-139,0,200,France
8/24/1968 6:30:00 PM,-22.228,-138.644,0,1000,France
09/08/1968 19:00:01,-21.821,-138.975,0,1000,France
5/15/1970 6:00:00 PM,-22,-139,0,20,France
5/22/1970 6:30:00 PM,-22,-139,0,1000,France
5/30/1970 6:00:00 PM,-22.309,-138.606,0,1000,France
6/24/1970 6:30:00 PM,-22,-139,0,20,France
07/03/1970 18:30:00,-21.935,-138.917,0,1000,France
7/27/1970 7:00:00 PM,-22,-139,0,20,France
08/02/1970 19:00:00,-22,-139,0,200,France
08/06/1970 19:00:00,-22,-139,0,1000,France
06/05/1971 19:15:00,-22,-139,0,200,France
06/12/1971 19:14:57,-23.8,-137.2,0,1000,France
07/04/1971 21:30:00,-22,-139,0,20,France
08/08/1971 18:30:00,-22,-139,0,20,France
8/14/1971 7:00:01 PM,-21.823,-138.976,0,1000,France
6/25/1972 7:00:00 PM,-22,-139,0,20,France
6/30/1972 6:30:00 PM,-22,-139,0,20,France
7/27/1972 6:40:00 PM,-22,-139,0,20,France
7/21/1973 6:00:00 PM,-22,-139,0,20,France
7/28/1973 11:00:00 PM,-22,-139,0,20,France
8/18/1973 6:15:00 PM,-22,-139,0,20,France
8/24/1973 6:00:00 PM,-22,-139,0,20,France
8/28/1973 6:30:00 PM,-22,-139,0,20,France
6/16/1974 5:30:00 PM,-22,-139,0,20,France
07/07/1974 23:15:00,-22,-139,0,1000,France
7/17/1974 5:00:00 PM,-22,-139,0,20,France
7/25/1974 5:30:00 PM,-22,-139,0,20,France
8/15/1974 12:30:00 AM,-22,-139,0,200,France
8/24/1974 11:45:00 PM,-22,-139,0,20,France
9/14/1974 11:30:00 PM,-22,-139,0,1000,France
06/05/1975 18:15:00,-22,-139,0,5,France
11/26/1975 12:48:00 AM,-22,-139,0,20,France
04/03/1976 17:07:00,-22,-139,0,5,France
07/11/1976 00:30:01,-21.863,-138.786,0,20,France
10/30/1976 10:59:59 PM,-22,-139,0,5,France
12/05/1976 23:00:00,-22,-139,0,5,France
2/19/1977 11:30:00 PM,-21.84,-138.848,0,20,France
3/19/1977 11:01:00 PM,-21.887,-138.92,0,150,France
04/02/1977 23:30:00,-22,-139,0,5,France
07/06/1977 23:00:00,-21.783,-138.96,0,20,France
11/12/1977 01:30:00,-22,-139,0,5,France
11/24/1977 5:00:00 PM,-21.884,-138.886,0,150,France
12/17/1977 10:00:00 PM,-22,-139,0,5,France
2/27/1978 11:00:00 PM,-22,-139,0,5,France
3/22/1978 5:30:00 PM,-21.705,-138.934,0,5,France
3/25/1978 5:30:00 PM,-22,-139,0,5,France
07/01/1978 17:00:00,-22,-139,0,5,France
7/19/1978 6:00:00 PM,-22,-139,0,20,France
7/26/1978 11:00:00 PM,-22,-139,0,5,France
11/02/1978 18:00:00,-22,-139,0,5,France
11/30/1978 5:32:00 PM,-21.868,-138.95,0,150,France
12/17/1978 6:04:00 PM,-22,-139,0,5,France
12/19/1978 4:57:01 PM,-21.768,-138.934,0,20,France
03/01/1979 17:24:00,-22,-139,0,20,France
03/09/1979 16:37:00,-22,-139,0,20,France
3/24/1979 4:28:00 PM,-21.806,-138.933,0,20,France
04/04/1979 18:07:00,-21.85,-138.702,0,20,France
6/18/1979 11:27:01 PM,-21.81,-138.809,0,20,France
6/29/1979 6:56:00 PM,-21.818,-138.903,0,150,France
7/25/1979 5:57:00 PM,-21.88,-138.94,0,150,France
7/28/1979 7:56:00 PM,-21.809,-138.812,0,5,France
11/19/1979 5:53:00 PM,-22,-139,0,5,France
11/22/1979 7:14:13 PM,-22,-139,0,5,France
2/23/1980 6:03:00 PM,-22,-139,0,5,France
03/03/1980 17:56:00,-22,-139,0,5,France
3/23/1980 7:37:00 PM,-21.861,-138.939,0,150,France
04/01/1980 19:31:00,-21.845,-138.758,0,20,France
04/04/1980 18:33:00,-21.921,-138.799,0,20,France
6/16/1980 6:27:00 PM,-21.87,-138.899,0,150,France
6/21/1980 5:01:00 PM,-22,-139,0,20,France
07/06/1980 17:27:01,-21.849,-138.848,0,20,France
7/19/1980 11:47:00 PM,-21.861,-138.934,0,150,France
11/25/1980 5:53:00 PM,-22,-139,0,5,France
12/03/1980 17:33:00,-21.875,-138.939,0,150,France
2/27/1981 11:28:00 PM,-22,-139,0,5,France
03/06/1981 17:27:00,-22,-139,0,5,France
3/28/1981 5:23:01 PM,-21.79,-138.678,0,20,France
04/10/1981 17:57:01,-21.795,-138.946,0,20,France
07/08/1981 22:23:00,-21.791,-139.046,0,20,France
07/11/1981 17:17:00,-22,-139,0,5,France
7/18/1981 5:43:00 PM,-22,-139,0,5,France
08/03/1981 18:33:00,-21.824,-138.903,0,150,France
11/06/1981 17:03:00,-22,-139,0,5,France
11/11/1981 17:07:00,-21.856,-138.954,0,20,France
12/05/1981 16:58:01,-21.685,-138.933,0,20,France
12/08/1981 16:47:00,-21.797,-138.927,0,20,France
2/20/1982 5:33:00 PM,-22,-139,0,5,France
2/24/1982 6:15:00 PM,-22,-139,0,5,France
3/20/1982 5:03:00 PM,-21.846,-138.868,0,20,France
3/23/1982 5:07:00 PM,-22,-139,0,5,France
6/27/1982 5:00:00 PM,-22,-139,0,5,France
07/01/1982 17:02:00,-21.769,-138.946,0,150,France
7/21/1982 5:13:00 PM,-22,-139,0,5,France
7/25/1982 6:02:00 PM,-21.836,-138.896,0,150,France
11/27/1982 5:02:00 PM,-22,-139,0,5,France
4/19/1983 6:53:00 PM,-21.819,-138.872,0,150,France
4/25/1983 5:32:59 PM,-22,-139,0,5,France
5/25/1983 5:31:00 PM,-21.861,-138.917,0,150,France
6/18/1983 5:31:00 PM,-22,-139,0,5,France
6/28/1983 5:46:00 PM,-21.767,-138.871,0,20,France
7/20/1983 8:30:00 PM,-22,-139,0,20,France
08/04/1983 17:14:00,-21.835,-138.829,0,150,France
12/03/1983 16:58:00,-22,-139,0,5,France
12/07/1983 17:28:00,-21.829,-138.928,0,20,France
05/08/1984 17:26:00,-22,-139,0,5,France
05/12/1984 17:31:00,-21.863,-138.901,0,150,France
06/12/1984 17:16:00,-22,-139,0,20,France
6/16/1984 5:44:00 PM,-21.849,-138.88,0,150,France
10/27/1984 5:16:00 PM,-22.064,-138.477,0,20,France
11/02/1984 20:45:00,-21.857,-138.92,0,150,France
12/01/1984 16:51:00,-22,-139,0,5,France
12/06/1984 17:29:00,-21.837,-138.89,0,150,France
4/30/1985 5:29:01 PM,-21.829,-138.952,0,20,France
05/08/1985 20:28:00,-21.831,-138.981,0,150,France
06/03/1985 17:30:01,-21.816,-138.897,0,20,France
06/07/1985 17:40:00,-22,-139,0,20,France
10/24/1985 5:50:00 PM,-22,-139,0,5,France
10/26/1985 4:35:00 PM,-21.849,-138.815,0,150,France
11/24/1985 4:01:01 PM,-21.802,-138.781,0,20,France
11/26/1985 5:42:00 PM,-21.856,-138.899,0,150,France
4/26/1986 5:02:01 PM,-21.725,-138.941,0,20,France
05/06/1986 16:58:00,-22,-139,0,5,France
5/27/1986 5:15:00 PM,-22,-139,0,20,France
5/30/1986 5:25:00 PM,-21.862,-138.949,0,150,France
11/10/1986 16:58:00,-22,-139,0,5,France
11/12/1986 17:02:00,-21.843,-138.927,0,20,France
12/06/1986 17:10:00,-22,-139,0,5,France
12/10/1986 17:15:00,-21.833,-138.892,0,150,France
05/05/1987 16:58:01,-21.705,-138.581,0,20,France
5/20/1987 5:05:00 PM,-21.85,-138.913,0,150,France
06/06/1987 18:00:01,-21.769,-138.874,0,20,France
6/21/1987 5:55:00 PM,-21.865,-138.891,0,150,France
10/23/1987 4:50:00 PM,-21.845,-138.907,0,150,France
11/05/1987 17:30:00,-21.791,-138.874,0,20,France
11/19/1987 4:31:00 PM,-21.845,-138.941,0,150,France
11/29/1987 5:59:00 PM,-22,-139,0,20,France
05/11/1988 17:00:00,-21.833,-138.945,0,150,France
5/25/1988 5:01:00 PM,-21.845,-138.961,0,150,France
6/16/1988 5:15:00 PM,-21.75,-139,0,5,France
6/23/1988 5:31:00 PM,-21.846,-138.911,0,20,France
10/25/1988 5:00:00 PM,-22,-139,0,5,France
11/05/1988 16:30:00,-21.793,-138.987,0,150,France
11/23/1988 5:01:00 PM,-21.835,-138.954,0,150,France
11/30/1988 5:55:00 PM,-22.233,-138.74,0,150,France
05/11/1989 16:45:00,-21.812,-138.884,0,20,France
5/20/1989 5:59:00 PM,-22,-139,0,5,France
06/03/1989 17:30:00,-21.842,-138.922,0,150,France
06/10/1989 17:30:00,-22.217,-138.721,0,150,France
10/24/1989 4:30:00 PM,-21.852,-138.912,0,150,France
10/31/1989 4:57:00 PM,-21.793,-138.855,0,20,France
11/20/1989 5:29:00 PM,-21.793,-138.884,0,20,France
11/27/1989 5:00:00 PM,-22.251,-138.722,0,150,France
06/02/1990 17:29:58,-21.877,-138.918,0,20,France
06/07/1990 17:30:00,-22,-139,0,20,France
6/26/1990 5:59:58 PM,-22.215,-138.841,0,150,France
07/04/1990 17:59:59,-21.85,-139.042,0,20,France
11/14/1990 6:11:58 PM,-22.258,-138.805,0,150,France
11/21/1990 4:59:58 PM,-21.936,-138.967,0,150,France
05/07/1991 17:00:00,-22,-139,0,5,France
5/18/1991 5:14:59 PM,-21.832,-139.014,0,150,France
5/29/1991 6:59:58 PM,-22.256,-138.794,0,150,France
6/14/1991 5:59:58 PM,-21.944,-138.988,0,150,France
07/05/1991 18:00:00,-22,-139,0,5,France
7/15/1991 6:09:58 PM,-21.877,-138.963,0,150,France
09/05/1995 21:29:58,-21.85,-138.84,0,0,France
10/01/1995 23:29:58,-22.25,-138.74,0,0,France
10/27/1995 9:59:58 PM,-21.89,-138.98,0,0,France
11/21/1995 9:29:58 PM,-21.88,-139.03,0,0,France
12/27/1995 9:29:58 PM,-21.88,-138.97,0,0,France
1/27/1996 9:29:58 PM,-22.24,-138.82,0,0,France
5/18/1974 2:34:55 AM,27.095,71.752,0.11,12,India
05/11/1998 10:13:44,27.078,71.719,0,0,India
5/13/1998 12:00:00 AM,27.078,71.719,0,0.6,India
5/28/1998 10:16:18 AM,28.83,64.95,0,0,Pakistan
5/30/1998 6:54:55 AM,28.49,63.73,0,0,Pakistan
10/03/1952 00:00:00,-20,115,0,25,England
10/14/1953 10:30:00 PM,-28,135,0,10,England
10/26/1953 10:30:00 PM,-28,135,0,8,England
5/16/1956 12:00:00 AM,-20,115,0,15,England
6/19/1956 12:00:00 AM,-20,115,0,60,England
9/27/1956 12:00:00 AM,-30,132,0,15,England
10/04/1956 00:00:00,-30,132,0,1.5,England
10/11/1956 00:00:00,-30,132,0,3,England
10/22/1956 12:00:00 AM,-30,132,0,10,England
5/15/1957 7:37:00 PM,1.67,-157.25,0,0,England
5/31/1957 7:41:00 PM,1.67,-157.25,0,0,England
6/19/1957 7:40:00 PM,1.67,-157.25,0,0,England
9/14/1957 5:30:00 AM,-30,132,0,1,England
9/25/1957 12:30:00 AM,-30,132,0,6,England
10/09/1957 07:30:00,-30,132,0,25,England
11/08/1957 17:47:00,1.67,-157.25,0,1800,England
4/28/1958 7:05:00 PM,1.67,-157.25,0,3000,England
8/22/1958 6:00:00 PM,1.67,-157.25,0,24,England
09/02/1958 17:24:00,1.67,-157.25,0,1000,England
09/11/1958 17:48:00,1.67,-157.25,0,800,England
9/23/1958 5:58:00 PM,1.67,-157.25,0,25,England
03/01/1962 19:10:00,37.0413,-116.0287,0.36,9.5,England
12/07/1962 19:00:00,37.0518,-116.0293,0.3,20,England
7/17/1964 5:18:30 PM,37.0176,-116.0296,0.27,20,England
9/25/1964 12:00:00 AM,37,-116,0,0,England
