latitude,longitude,mag
41.50,88.50,20.00
41.50,88.50,20.00
41.50,88.50,200.00
41.50,88.50,0.00
41.50,88.50,0.00
40.74,89.78,"3,300.00"
41.50,88.50,0.00
41.50,88.50,0.00
41.38,88.32,19.20
40.72,89.52,"3,000.00"
40.52,89.78,"3,400.00"
41.50,88.50,20.00
41.50,88.50,0.00
41.50,88.50,0.00
40.80,89.81,"3,000.00"
40.52,89.62,"1,000.00"
41.38,88.33,2.50
41.50,88.50,0.00
41.50,88.50,0.00
41.71,88.37,2.60
40.70,89.63,"4,000.00"
41.50,88.50,0.00
41.50,88.50,0.00
41.52,88.72,3.40
41.50,88.50,0.00
41.50,88.50,0.00
40.72,89.65,"1,000.00"
41.50,88.50,0.00
41.68,88.37,1.00
41.54,88.72,0.00
41.57,88.73,0.00
41.74,88.43,1.30
41.52,88.71,250.00
41.77,88.38,2.50
41.57,88.70,11.50
41.51,88.74,189.00
41.51,88.77,650.00
41.72,88.34,8.00
41.67,88.70,0.00
41.53,88.71,0.00
41.66,88.75,0.00
41.60,88.82,0.00
41.56,88.80,0.00
41.66,88.69,0.00
41.82,88.42,0.00
27.00,0.00,0.00
27.00,0.00,0.00
27.00,0.00,0.00
27.00,0.00,0.00
24.06,5.05,0.00
24.06,5.04,20.00
24.04,5.05,20.00
24.04,5.06,20.00
24.04,5.04,20.00
24.05,5.05,20.00
24.07,5.03,20.00
24.04,5.04,20.00
24.06,5.03,20.00
24.06,5.05,20.00
24.06,5.03,20.00
24.04,5.05,20.00
24.04,5.04,20.00
-22.00,-139.00,200.00
-22.00,-139.00,200.00
-22.00,-139.00,200.00
-22.00,-139.00,200.00
-22.00,-139.00,"1,000.00"
-22.00,-139.00,20.00
-22.00,-139.00,200.00
-22.00,-139.00,200.00
-22.00,-139.00,200.00
-22.00,-139.00,"1,000.00"
-22.00,-139.00,200.00
-22.23,-138.64,"1,000.00"
-21.82,-138.98,"1,000.00"
-22.00,-139.00,20.00
-22.00,-139.00,"1,000.00"
-22.31,-138.61,"1,000.00"
-22.00,-139.00,20.00
-21.94,-138.92,"1,000.00"
-22.00,-139.00,20.00
-22.00,-139.00,200.00
-22.00,-139.00,"1,000.00"
-22.00,-139.00,200.00
-23.80,-137.20,"1,000.00"
-22.00,-139.00,20.00
-22.00,-139.00,20.00
-21.82,-138.98,"1,000.00"
-22.00,-139.00,20.00
-22.00,-139.00,20.00
-22.00,-139.00,20.00
-22.00,-139.00,20.00
-22.00,-139.00,20.00
-22.00,-139.00,20.00
-22.00,-139.00,20.00
-22.00,-139.00,20.00
-22.00,-139.00,20.00
-22.00,-139.00,"1,000.00"
-22.00,-139.00,20.00
-22.00,-139.00,20.00
-22.00,-139.00,200.00
-22.00,-139.00,20.00
-22.00,-139.00,"1,000.00"
-22.00,-139.00,5.00
-22.00,-139.00,20.00
-22.00,-139.00,5.00
-21.86,-138.79,20.00
-22.00,-139.00,5.00
-22.00,-139.00,5.00
-21.84,-138.85,20.00
-21.89,-138.92,150.00
-22.00,-139.00,5.00
-21.78,-138.96,20.00
-22.00,-139.00,5.00
-21.88,-138.89,150.00
-22.00,-139.00,5.00
-22.00,-139.00,5.00
-21.71,-138.93,5.00
-22.00,-139.00,5.00
-22.00,-139.00,5.00
-22.00,-139.00,20.00
-22.00,-139.00,5.00
-22.00,-139.00,5.00
-21.87,-138.95,150.00
-22.00,-139.00,5.00
-21.77,-138.93,20.00
-22.00,-139.00,20.00
-22.00,-139.00,20.00
-21.81,-138.93,20.00
-21.85,-138.70,20.00
-21.81,-138.81,20.00
-21.82,-138.90,150.00
-21.88,-138.94,150.00
-21.81,-138.81,5.00
-22.00,-139.00,5.00
-22.00,-139.00,5.00
-22.00,-139.00,5.00
-22.00,-139.00,5.00
-21.86,-138.94,150.00
-21.85,-138.76,20.00
-21.92,-138.80,20.00
-21.87,-138.90,150.00
-22.00,-139.00,20.00
-21.85,-138.85,20.00
-21.86,-138.93,150.00
-22.00,-139.00,5.00
-21.88,-138.94,150.00
-22.00,-139.00,5.00
-22.00,-139.00,5.00
-21.79,-138.68,20.00
-21.80,-138.95,20.00
-21.79,-139.05,20.00
-22.00,-139.00,5.00
-22.00,-139.00,5.00
-21.82,-138.90,150.00
-22.00,-139.00,5.00
-21.86,-138.95,20.00
-21.69,-138.93,20.00
-21.80,-138.93,20.00
-22.00,-139.00,5.00
-22.00,-139.00,5.00
-21.85,-138.87,20.00
-22.00,-139.00,5.00
-22.00,-139.00,5.00
-21.77,-138.95,150.00
-22.00,-139.00,5.00
-21.84,-138.90,150.00
-22.00,-139.00,5.00
-21.82,-138.87,150.00
-22.00,-139.00,5.00
-21.86,-138.92,150.00
-22.00,-139.00,5.00
-21.77,-138.87,20.00
-22.00,-139.00,20.00
-21.84,-138.83,150.00
-22.00,-139.00,5.00
-21.83,-138.93,20.00
-22.00,-139.00,5.00
-21.86,-138.90,150.00
-22.00,-139.00,20.00
-21.85,-138.88,150.00
-22.06,-138.48,20.00
-21.86,-138.92,150.00
-22.00,-139.00,5.00
-21.84,-138.89,150.00
-21.83,-138.95,20.00
-21.83,-138.98,150.00
-21.82,-138.90,20.00
-22.00,-139.00,20.00
-22.00,-139.00,5.00
-21.85,-138.82,150.00
-21.80,-138.78,20.00
-21.86,-138.90,150.00
-21.73,-138.94,20.00
-22.00,-139.00,5.00
-22.00,-139.00,20.00
-21.86,-138.95,150.00
-22.00,-139.00,5.00
-21.84,-138.93,20.00
-22.00,-139.00,5.00
-21.83,-138.89,150.00
-21.71,-138.58,20.00
-21.85,-138.91,150.00
-21.77,-138.87,20.00
-21.87,-138.89,150.00
-21.85,-138.91,150.00
-21.79,-138.87,20.00
-21.85,-138.94,150.00
-22.00,-139.00,20.00
-21.83,-138.95,150.00
-21.85,-138.96,150.00
-21.75,-139.00,5.00
-21.85,-138.91,20.00
-22.00,-139.00,5.00
-21.79,-138.99,150.00
-21.84,-138.95,150.00
-22.23,-138.74,150.00
-21.81,-138.88,20.00
-22.00,-139.00,5.00
