time,latitude,longitude,depth,mag,country,
08/01/1958 10:50:06,16.7439,-169.5333,76.81,3800,USA,7681
08/12/1958 10:30:09,16.3583,-169.5356,42.98,3800,USA,4298
4/28/1958 2:40:00 AM,12.6167,168.025,26.21,1.7,USA,2621
04/06/1955 18:00:04,37.0286,-116.0578,11.16,3,USA,1116
7/19/1957 2:00:05 PM,37.1606,-116.0531,9.14,2,USA,914
6/18/1985 4:00:00 AM,60.6,72.7,2.86,2.5,Russia,286
09/10/1969 21:00:00,39.4058,-107.9481,2.57,40,USA,257
12/10/1980 07:00:00,61.75,66.75,2.49,15,Russia,249
07/09/1972 07:00:01,49.8,35.4,2.48,3.8,Russia,248
5/21/1968 3:59:12 AM,38.918,65.032,2.44,47,Russia,244
07/08/1974 06:00:00,53.7,55.1,2.12,10,Russia,212
09/02/1981 04:00:00,60.6,55.7,2.09,3.2,Russia,209
8/28/1984 3:05:00 AM,60.7,57.5,2.08,3.2,Russia,208
8/28/1984 3:00:00 AM,60.3,57.1,2.07,3.2,Russia,207
4/19/1987 4:05:00 AM,60.8,57.5,2.06,3.2,Russia,206
5/17/1973 4:00:00 PM,39.793,-108.3666,2.04,99,USA,204
10/26/1973 6:00:00 AM,53.65,55.4,2.03,10,Russia,203
4/19/1987 4:00:00 AM,60.6,57.2,2.02,3.2,Russia,202
04/06/1953 15:29:38,37.0847,-116.018,1.83,11,USA,183
11/06/1971 22:00:00,51.4719,179.1069,1.79,5000,USA,179
04/11/1972 06:00:02,37.35,62.05,1.72,15,Russia,172
10/08/1978 00:00:00,61.55,112.85,1.55,15,Russia,155
10/07/1979 21:00:00,61.85,113.1,1.55,15,Russia,155
9/30/1966 5:59:51 AM,38.968,64.517,1.53,30,Russia,153
11/05/1976 04:00:00,61.458,112.86,1.52,15,Russia,152
7/24/1987 2:00:00 AM,61.45,112.8,1.52,15,Russia,152
5/25/1981 5:00:00 AM,68.2,53.5,1.51,37.6,Russia,151
9/30/1977 6:59:58 AM,47.897,48.161,1.5,10,Russia,150
10/10/1982 05:00:00,61.55,112.85,1.5,15,Russia,150
07/07/1987 00:00:00,61.5,112.85,1.5,15,Russia,150
01/03/1976 19:15:00,37.2966,-116.3332,1.45,1000,USA,145
12/19/1968 4:30:00 PM,37.2315,-116.4736,1.4,1150,USA,140
6/16/1980 6:00:00 AM,52.9,56.5,1.4,3.2,Russia,140
6/25/1980 6:00:00 AM,52.9,56.5,1.39,3.2,Russia,139
3/30/1965 8:00:00 AM,52.9,56.5,1.38,4.6,Russia,138
06/10/1965 07:00:00,52.9,56.5,1.35,7.6,Russia,135
5/20/1956 5:50:39 PM,11.6683,165.3942,1.32,3800,USA,132
6/26/1975 12:30:00 PM,37.2789,-116.3686,1.31,1000,USA,131
12/10/1967 19:30:00,36.6778,-107.2083,1.29,29,USA,129
10/28/1975 2:30:00 PM,37.2901,-116.4115,1.27,1000,USA,127
3/14/1976 12:30:00 PM,37.306,-116.4715,1.27,1000,USA,127
12/20/1966 3:30:00 PM,37.3021,-116.4083,1.22,870,USA,122
10/02/1969 22:06:00,51.4171,179.1823,1.22,1000,USA,122
02/12/1976 14:45:00,37.2714,-116.4884,1.22,1000,USA,122
3/26/1970 7:00:00 PM,37.3005,-116.5341,1.21,1000,USA,121
09/02/1969 04:59:59,57.22,55.393,1.21,7.6,Russia,121
09/08/1969 04:59:59,57.22,55.417,1.21,7.6,Russia,121
4/26/1968 3:00:00 PM,37.2954,-116.4557,1.17,1300,USA,117
2/14/1976 11:30:00 AM,37.2426,-116.4202,1.17,500,USA,117
9/16/1969 2:30:00 PM,37.3141,-116.4607,1.16,1000,USA,116
9/30/1973 5:00:00 AM,51.65,54.55,1.15,10,Russia,115
10/22/1971 5:00:01 AM,51.6,54.45,1.14,15,Russia,114
10/16/1982 6:10:00 AM,46.766,48.288,1.1,8.5,Russia,110
9/24/1983 5:15:00 AM,46.749,48.303,1.1,8.5,Russia,110
9/24/1983 5:25:00 AM,46.766,48.274,1.1,8.5,Russia,110
06/06/1973 13:00:00,37.2451,-116.346,1.06,1000,USA,106
10/16/1982 6:15:00 AM,46.76,48.3,1.06,8.5,Russia,106
4/22/1952 5:30:10 PM,37.0844,-116.0203,1.05,31,USA,105
10/08/1980 06:00:00,46.757,48.275,1.05,8.5,Russia,105
9/26/1981 5:00:00 AM,46.79,48.313,1.05,8.5,Russia,105
9/26/1981 5:04:00 AM,46.771,48.304,1.05,8.5,Russia,105
9/24/1983 5:00:00 AM,46.783,48.315,1.05,8.5,Russia,105
9/24/1983 5:05:00 AM,46.788,48.297,1.05,8.5,Russia,105
10/17/1978 4:59:59 AM,47.85,48.12,1.04,170,Russia,104
7/29/1976 5:00:01 AM,47.87,48.15,1,58,Russia,100
1/17/1979 7:59:59 AM,47.92,48.12,1,170,Russia,100
10/27/1984 6:00:00 AM,46.9,48.15,1,3.2,Russia,100
10/27/1984 6:05:00 AM,46.95,48.1,1,3.2,Russia,100
10/03/1987 15:15:00,47.6,56.2,1,8.5,Russia,100
12/22/1971 6:59:59 AM,47.897,48.133,0.99,64,Russia,99
3/29/1976 7:00:00 AM,47.897,48.133,0.99,10,Russia,99
10/16/1982 6:05:00 AM,46.752,48.258,0.99,8.5,Russia,99
5/23/1967 2:00:00 PM,37.2751,-116.37,0.98,155,USA,98
1/19/1968 6:15:00 PM,38.6343,-116.2153,0.98,1000,USA,98
7/14/1979 4:59:58 AM,47.88,48.12,0.98,60,Russia,98
08/12/1979 18:00:00,61.803,122.43,0.98,8.5,Russia,98
09/04/1982 18:00:00,69.2,81.65,0.96,16,Russia,96
7/21/1984 3:05:00 AM,51.371,53.337,0.96,15,Russia,96
10/16/1982 6:00:00 AM,46.759,48.247,0.95,13.5,Russia,95
9/24/1983 5:20:00 AM,46.754,48.289,0.95,8.5,Russia,95
07/10/1983 04:05:00,51.367,53.327,0.92,15,Russia,92
9/24/1983 5:10:00 AM,46.767,48.31,0.92,8.5,Russia,92
6/19/1975 1:00:00 PM,37.3503,-116.3202,0.91,1000,USA,91
07/10/1983 04:00:00,51.363,53.306,0.91,15,Russia,91
9/16/1979 9:00:00 AM,48.2,38.3,0.9,0.3,Russia,90
9/21/1978 3:00:00 PM,66.598,86.21,0.89,15,Russia,89
3/17/1976 2:15:00 PM,37.2559,-116.3119,0.88,500,USA,88
03/09/1976 14:00:00,37.31,-116.3642,0.87,500,USA,87
7/26/1977 5:00:00 PM,69.575,90.375,0.85,15,Russia,85
10/24/1979 5:59:59 AM,47.85,48.14,0.85,170,Russia,85
7/21/1984 3:00:00 AM,51.358,53.319,0.85,15,Russia,85
10/04/1979 16:00:00,60.675,71.455,0.84,22,Russia,84
07/10/1983 04:10:00,51.38,53.34,0.84,15,Russia,84
7/21/1984 3:10:00 AM,51.391,53.351,0.84,15,Russia,84
10/22/1964 4:00:00 PM,31.1421,-89.5699,0.83,5.3,USA,83
12/03/1966 12:15:00,31.1421,-89.5699,0.83,0.38,USA,83
9/29/1975 11:00:00 AM,69.578,90.337,0.83,7.6,Russia,83
8/22/1988 4:20:00 PM,66.28,78.491,0.83,15,Russia,83
6/30/1966 10:15:00 PM,37.3158,-116.299,0.82,365,USA,82
11/20/1975 3:00:00 PM,37.225,-116.3676,0.82,1000,USA,82
08/12/1987 01:30:00,61.45,112.8,0.82,3.2,Russia,82
09/06/1988 16:20:00,61.361,48.092,0.82,8.5,Russia,82
3/17/1976 2:45:00 PM,37.1073,-116.0525,0.78,500,USA,78
5/14/1975 2:00:00 PM,37.2208,-116.4742,0.77,1000,USA,77
7/18/1985 9:15:00 PM,65.994,41.038,0.77,8.5,Russia,77
08/11/1984 19:00:00,65.05,55.1,0.76,8.5,Russia,76
03/03/1965 19:13:00,37.0645,-116.0372,0.75,200,USA,75
5/20/1967 3:00:00 PM,37.1304,-116.0639,0.75,250,USA,75
05/08/1953 15:29:55,36.5,-115.9289,0.74,27,USA,74
2/23/1967 6:50:00 PM,37.1269,-116.0664,0.73,200,USA,73
8/29/1968 10:45:00 PM,37.2503,-116.3469,0.73,200,USA,73
06/03/1975 14:20:00,37.3401,-116.5229,0.73,200,USA,73
8/25/1984 7:00:00 PM,61.9,72.1,0.73,8.5,Russia,73
10/18/1967 2:30:00 PM,37.1156,-116.0576,0.72,200,USA,72
12/20/1975 8:00:00 PM,37.1276,-116.0616,0.72,200,USA,72
11/01/1980 13:00:00,60.8,97.55,0.72,8,Russia,72
9/13/1963 5:00:00 PM,37.0604,-116.0217,0.71,249,USA,71
2/28/1975 3:15:00 PM,37.1062,-116.0563,0.71,200,USA,71
9/26/1969 6:59:58 AM,45.848,42.6,0.71,10,Russia,71
