time,latitude,longitude,depth,mag,country
10/16/1964 7:00:00 AM,41.5,88.5,10,20,China
5/14/1965 2:00:00 AM,41.5,88.5,10,20,China
05/09/1966 08:00:00,41.5,88.5,10,200,China
10/27/1966 1:10:00 AM,41.5,88.5,10,0,China
12/28/1966 4:00:00 AM,41.5,88.5,10,0,China
12/24/1967 4:00:00 AM,41.5,88.5,10,0,China
12/27/1968 7:30:00 AM,41.5,88.5,10,0,China
11/18/1971 6:00:00 AM,41.5,88.5,10,20,China
01/07/1972 07:00:00,41.5,88.5,10,0,China
3/18/1972 6:00:00 AM,41.5,88.5,10,0,China
1/23/1976 6:00:00 AM,41.5,88.5,10,0,China
9/26/1976 6:00:00 AM,41.5,88.5,10,0,China
9/17/1977 7:00:00 AM,41.5,88.5,10,0,China
3/15/1978 5:00:00 AM,41.5,88.5,10,0,China
12/14/1978 12:00:00 AM,41.5,88.5,10,0,China
9/13/1979 12:00:00 AM,41.5,88.5,10,0,China
10/05/1982 00:00:00,41.5,88.5,10,0,China
10/06/1983 10:00:00,41.54,88.72,10,0,China
10/03/1984 06:00:00,41.57,88.73,10,0,China
10/05/1993 01:59:57,41.667,88.695,10,0,China
06/10/1994 06:25:58,41.53,88.71,10,0,China
10/07/1994 03:25:58,41.66,88.75,10,0,China
5/15/1995 4:05:58 AM,41.6,88.82,10,0,China
8/17/1995 12:59:58 AM,41.56,88.8,10,0,China
06/08/1996 02:55:58,41.66,88.69,10,0,China
7/29/1996 1:48:58 AM,41.82,88.42,10,0,China
2/13/1960 7:04:00 AM,27,0,10,0,France
04/01/1960 06:17:00,27,0,10,0,France
12/27/1960 7:30:00 AM,27,0,10,0,France
4/25/1961 6:00:00 AM,27,0,10,0,France
11/07/1961 11:30:00,24.0571,5.0521,10,0,France
05/01/1962 10:00:00,24.063,5.0418,10,20,France
3/18/1963 10:02:00 AM,24.0413,5.0521,10,20,France
3/30/1963 9:59:00 AM,24.0433,5.057,10,20,France
10/20/1963 1:00:00 PM,24.0355,5.0386,10,20,France
2/14/1964 11:00:00 AM,24.0536,5.0523,10,20,France
6/15/1964 1:40:00 PM,24.0666,5.0345,10,20,France
11/28/1964 10:30:00 AM,24.0418,5.0416,10,20,France
2/27/1965 11:30:00 AM,24.0587,5.0311,10,20,France
5/30/1965 11:00:00 AM,24.055,5.0508,10,20,France
10/01/1965 10:00:00,24.0649,5.034,10,20,France
12/01/1965 10:30:00,24.0437,5.0469,10,20,France
2/16/1966 11:00:00 AM,24.0441,5.0412,10,20,France
07/02/1966 15:34:00,-22,-139,10,200,France
7/19/1966 3:05:00 PM,-22,-139,10,200,France
09/11/1966 17:30:00,-22,-139,10,200,France
9/24/1966 5:00:00 PM,-22,-139,10,200,France
10/04/1966 21:00:00,-22,-139,10,1000,France
06/05/1967 19:00:00,-22,-139,10,20,France
6/27/1967 6:30:00 PM,-22,-139,10,200,France
07/02/1967 17:30:00,-22,-139,10,200,France
07/07/1968 22:00:00,-22,-139,10,200,France
7/15/1968 7:00:00 PM,-22,-139,10,1000,France
08/03/1968 21:00:00,-22,-139,10,200,France
8/24/1968 6:30:00 PM,-22.228,-138.644,10,1000,France
09/08/1968 19:00:01,-21.821,-138.975,10,1000,France
5/15/1970 6:00:00 PM,-22,-139,10,20,France
5/22/1970 6:30:00 PM,-22,-139,10,1000,France
5/30/1970 6:00:00 PM,-22.309,-138.606,10,1000,France
6/24/1970 6:30:00 PM,-22,-139,10,20,France
07/03/1970 18:30:00,-21.935,-138.917,10,1000,France
7/27/1970 7:00:00 PM,-22,-139,10,20,France
08/02/1970 19:00:00,-22,-139,10,200,France
08/06/1970 19:00:00,-22,-139,10,1000,France
06/05/1971 19:15:00,-22,-139,10,200,France
06/12/1971 19:14:57,-23.8,-137.2,10,1000,France
07/04/1971 21:30:00,-22,-139,10,20,France
08/08/1971 18:30:00,-22,-139,10,20,France
8/14/1971 7:00:01 PM,-21.823,-138.976,10,1000,France
6/25/1972 7:00:00 PM,-22,-139,10,20,France
6/30/1972 6:30:00 PM,-22,-139,10,20,France
7/27/1972 6:40:00 PM,-22,-139,10,20,France
7/21/1973 6:00:00 PM,-22,-139,10,20,France
7/28/1973 11:00:00 PM,-22,-139,10,20,France
8/18/1973 6:15:00 PM,-22,-139,10,20,France
8/24/1973 6:00:00 PM,-22,-139,10,20,France
8/28/1973 6:30:00 PM,-22,-139,10,20,France
6/16/1974 5:30:00 PM,-22,-139,10,20,France
07/07/1974 23:15:00,-22,-139,10,1000,France
7/17/1974 5:00:00 PM,-22,-139,10,20,France
7/25/1974 5:30:00 PM,-22,-139,10,20,France
8/15/1974 12:30:00 AM,-22,-139,10,200,France
8/24/1974 11:45:00 PM,-22,-139,10,20,France
9/14/1974 11:30:00 PM,-22,-139,10,1000,France
06/05/1975 18:15:00,-22,-139,10,5,France
11/26/1975 12:48:00 AM,-22,-139,10,20,France
04/03/1976 17:07:00,-22,-139,10,5,France
07/11/1976 00:30:01,-21.863,-138.786,10,20,France
10/30/1976 10:59:59 PM,-22,-139,10,5,France
12/05/1976 23:00:00,-22,-139,10,5,France
2/19/1977 11:30:00 PM,-21.84,-138.848,10,20,France
3/19/1977 11:01:00 PM,-21.887,-138.92,10,150,France
04/02/1977 23:30:00,-22,-139,10,5,France
07/06/1977 23:00:00,-21.783,-138.96,10,20,France
11/12/1977 01:30:00,-22,-139,10,5,France
11/24/1977 5:00:00 PM,-21.884,-138.886,10,150,France
12/17/1977 10:00:00 PM,-22,-139,10,5,France
2/27/1978 11:00:00 PM,-22,-139,10,5,France
3/22/1978 5:30:00 PM,-21.705,-138.934,10,5,France
3/25/1978 5:30:00 PM,-22,-139,10,5,France
07/01/1978 17:00:00,-22,-139,10,5,France
7/19/1978 6:00:00 PM,-22,-139,10,20,France
7/26/1978 11:00:00 PM,-22,-139,10,5,France
11/02/1978 18:00:00,-22,-139,10,5,France
11/30/1978 5:32:00 PM,-21.868,-138.95,10,150,France
12/17/1978 6:04:00 PM,-22,-139,10,5,France
12/19/1978 4:57:01 PM,-21.768,-138.934,10,20,France
03/01/1979 17:24:00,-22,-139,10,20,France
03/09/1979 16:37:00,-22,-139,10,20,France
3/24/1979 4:28:00 PM,-21.806,-138.933,10,20,France
04/04/1979 18:07:00,-21.85,-138.702,10,20,France
6/18/1979 11:27:01 PM,-21.81,-138.809,10,20,France
6/29/1979 6:56:00 PM,-21.818,-138.903,10,150,France
7/25/1979 5:57:00 PM,-21.88,-138.94,10,150,France
7/28/1979 7:56:00 PM,-21.809,-138.812,10,5,France
11/19/1979 5:53:00 PM,-22,-139,10,5,France
11/22/1979 7:14:13 PM,-22,-139,10,5,France
2/23/1980 6:03:00 PM,-22,-139,10,5,France
03/03/1980 17:56:00,-22,-139,10,5,France
3/23/1980 7:37:00 PM,-21.861,-138.939,10,150,France
04/01/1980 19:31:00,-21.845,-138.758,10,20,France
04/04/1980 18:33:00,-21.921,-138.799,10,20,France
6/16/1980 6:27:00 PM,-21.87,-138.899,10,150,France
6/21/1980 5:01:00 PM,-22,-139,10,20,France
07/06/1980 17:27:01,-21.849,-138.848,10,20,France
7/19/1980 11:47:00 PM,-21.861,-138.934,10,150,France
11/25/1980 5:53:00 PM,-22,-139,10,5,France
